timestamp,event,plate,start_time,end_time,duration_sec,duration_hms,blocks,cost_kyats
2025-11-05 15:24:34,RECEIPT,1D 4663,2025-11-05 15:23:33,2025-11-05 15:24:34,61,00:01:01,2,1000
2025-11-05 15:24:36,START,0I 2401,2025-11-05 15:24:36,,,,,
2025-11-05 15:24:37,RECEIPT,1D 9662,2025-11-05 15:24:25,2025-11-05 15:24:37,12,00:00:12,1,500
2025-11-05 15:26:22,START,7K 3157,2025-11-05 15:26:22,,,,,
2025-11-05 15:26:52,RECEIPT,7K 3157,2025-11-05 15:26:22,2025-11-05 15:26:52,30,00:00:30,1,500
2025-11-05 15:27:21,START,7K 5157,2025-11-05 15:27:21,,,,,
2025-11-05 15:27:24,START,5I 5107,2025-11-05 15:27:24,,,,,
2025-11-05 15:28:06,START,1D 1015,2025-11-05 15:28:06,,,,,
2025-11-05 15:28:46,START,1S 3111,2025-11-05 15:28:46,,,,,
2025-11-05 15:28:50,START,1I 5711,2025-11-05 15:28:50,,,,,
2025-11-05 15:28:53,START,1K 3151,2025-11-05 15:28:53,,,,,
2025-11-05 15:28:58,START,3I 5731,2025-11-05 15:28:58,,,,,
2025-11-05 15:28:59,START,1O 1511,2025-11-05 15:28:59,,,,,
2025-11-05 15:29:03,START,1J 1573,2025-11-05 15:29:02,,,,,
2025-11-05 15:29:04,START,1I 5115,2025-11-05 15:29:04,,,,,
2025-11-06 11:07:14,START,1D 9610,2025-11-06 11:07:14,,,,,
2025-11-06 11:07:42,START,1O 9662,2025-11-06 11:07:42,,,,,
2025-11-06 11:07:44,START,1D 9662,2025-11-06 11:07:43,,,,,
2025-11-06 11:08:05,START,1D 9462,2025-11-06 11:08:05,,,,,
2025-11-06 11:08:07,START,1D 6621,2025-11-06 11:08:06,,,,,
2025-11-06 11:32:04,START,ENTRY,1D 9662,2025-11-06 11:32:04,,,,,
2025-11-06 11:32:35,START,ENTRY,1D 9615,2025-11-06 11:32:35,,,,,
2025-11-06 11:32:41,START,ENTRY,9B 6216,2025-11-06 11:32:41,,,,,
2025-11-06 11:32:54,START,ENTRY,1D 9667,2025-11-06 11:32:54,,,,,
2025-11-06 11:33:20,START,ENTRY,1I 9662,2025-11-06 11:33:20,,,,,
2025-11-06 11:33:22,START,ENTRY,1V 9661,2025-11-06 11:33:22,,,,,
2025-11-06 11:33:25,START,ENTRY,1D 4661,2025-11-06 11:33:25,,,,,
2025-11-06 11:33:27,START,ENTRY,1O 4661,2025-11-06 11:33:27,,,,,
2025-11-06 11:33:33,START,ENTRY,1O 9662,2025-11-06 11:33:33,,,,,
2025-11-06 11:33:52,RECEIPT,EXIT,1D 9662,2025-11-06 11:32:04,2025-11-06 11:33:52,108,00:01:48,2,1000
2025-11-13 09:05:06,START,ENTRY,7S 7575,2025-11-13 09:05:06,,,,,
2025-11-13 09:05:08,START,ENTRY,7S 7307,2025-11-13 09:05:08,,,,,
2025-11-13 09:05:09,START,ENTRY,7L 7575,2025-11-13 09:05:09,,,,,
2025-11-13 09:05:22,RECEIPT,EXIT,7S 7575,2025-11-13 09:05:06,2025-11-13 09:05:22,15,00:00:15,1,500
2025-11-13 09:05:49,START,ENTRY,0L 7575,2025-11-13 09:05:49,,,,,
2025-11-13 09:06:03,START,ENTRY,1L 5017,2025-11-13 09:06:03,,,,,
2025-11-13 09:06:07,START,ENTRY,7L 1518,2025-11-13 09:06:07,,,,,
2025-11-13 09:06:10,START,ENTRY,0L 7579,2025-11-13 09:06:10,,,,,
2025-11-13 09:06:11,START,ENTRY,7S 7575,2025-11-13 09:06:11,,,,,
2025-11-13 09:06:12,START,ENTRY,7S 7875,2025-11-13 09:06:12,,,,,
2025-11-13 09:06:14,START,ENTRY,1S 7517,2025-11-13 09:06:14,,,,,
2025-11-13 09:06:16,START,ENTRY,0L 1554,2025-11-13 09:06:16,,,,,
2025-11-13 09:06:19,START,ENTRY,7S 7915,2025-11-13 09:06:19,,,,,
2025-11-13 09:06:22,START,ENTRY,9L 7575,2025-11-13 09:06:22,,,,,
2025-11-13 09:06:31,RECEIPT,EXIT,9L 7575,2025-11-13 09:06:22,2025-11-13 09:06:31,9,00:00:09,1,500
2025-11-13 15:33:22,START,ENTRY,1D 9662,2025-11-13 15:33:22,,,,,
2025-11-13 15:33:25,START,ENTRY,1D 9664,2025-11-13 15:33:25,,,,,
2025-11-13 15:33:50,RECEIPT,EXIT,1D 9662,2025-11-13 15:33:22,2025-11-13 15:33:50,28,00:00:28,1,500
2025-11-13 15:47:50,START,ENTRY,1D 4608,2025-11-13 15:47:50,,,,,
2025-11-13 15:47:58,START,ENTRY,1I 2166,2025-11-13 15:47:58,,,,,
2025-11-13 15:47:59,START,ENTRY,1D 9662,2025-11-13 15:47:59,,,,,
2025-11-13 15:48:03,START,ENTRY,1Z 9604,2025-11-13 15:48:03,,,,,
2025-11-13 15:48:13,START,ENTRY,1D 6610,2025-11-13 15:48:13,,,,,
2025-11-13 15:48:19,RECEIPT,EXIT,1D 9662,2025-11-13 15:47:59,2025-11-13 15:48:19,19,00:00:19,1,500
2025-11-13 15:50:41,START,ENTRY,1D 9662,2025-11-13 15:50:41,,,,,
2025-11-13 15:50:53,RECEIPT,EXIT,1D 9662,2025-11-13 15:50:41,2025-11-13 15:50:53,12,00:00:12,1,500
2025-11-13 16:26:51,START,ENTRY,1D 9662,2025-11-13 16:26:51,,,,,
2025-11-13 16:27:09,START,ENTRY,1D 9667,2025-11-13 16:27:09,,,,,
